Fecha;Último;Apertura;Máximo;Mínimo;Vol.;%var.
01.09.2021;69.980,00;67.200,00;69.980,00;67.200,00;1,33K;4,29%
31.08.2021;67.100,00;68.100,00;68.100,00;67.100,00;1,62K;-0,59%
30.08.2021;67.500,00;67.500,00;67.500,00;67.500,00;0,70K;-2,17%
27.08.2021;69.000,00;69.030,00;69.030,00;68.990,00;1,34K;-0,04%
26.08.2021;69.030,00;69.030,00;69.030,00;69.030,00;0,68K;-1,39%
25.08.2021;70.000,00;70.000,00;70.000,00;70.000,00;0,69K;0,00%
24.08.2021;70.000,00;70.000,00;70.000,00;70.000,00;1,18K;0,00%
23.08.2021;70.000,00;70.000,00;70.000,00;70.000,00;1,28K;0,00%
20.08.2021;70.000,00;70.000,00;70.000,00;70.000,00;0,47K;0,00%
19.08.2021;70.000,00;70.000,00;70.000,00;70.000,00;2,90K;0,00%
18.08.2021;70.000,00;69.000,00;70.000,00;69.000,00;5,63K;0,00%
17.08.2021;70.000,00;70.000,00;70.000,00;69.990,00;2,30K;0,00%
13.08.2021;70.000,00;69.000,00;70.000,00;69.000,00;1,29K;5,74%
12.08.2021;66.200,00;68.000,00;68.000,00;66.200,00;1,47K;-2,65%
11.08.2021;68.000,00;68.000,00;68.000,00;68.000,00;0,34K;2,22%
05.08.2021;66.520,00;66.520,00;66.520,00;66.520,00;0,88K;0,00%
04.08.2021;66.520,00;68.000,00;68.000,00;66.520,00;6,89K;-2,18%
03.08.2021;68.000,00;68.000,00;68.000,00;68.000,00;6,02K;0,00%
30.07.2021;68.000,00;68.000,00;68.000,00;68.000,00;0,50K;4,53%
28.07.2021;65.050,00;69.500,00;69.500,00;65.050,00;5,46K;-7,06%
27.07.2021;69.990,00;69.990,00;69.990,00;69.990,00;0,39K;0,71%
26.07.2021;69.500,00;69.500,00;69.500,00;69.500,00;2,21K;0,00%
22.07.2021;69.500,00;69.500,00;69.500,00;69.500,00;0,41K;0,00%
21.07.2021;69.500,00;69.500,00;69.500,00;69.500,00;0,56K;0,00%
19.07.2021;69.500,00;69.500,00;69.500,00;69.500,00;0,90K;-0,71%
15.07.2021;70.000,00;70.000,00;70.000,00;70.000,00;3,00K;0,00%
14.07.2021;70.000,00;70.000,00;70.000,00;70.000,00;3,98K;0,00%
09.07.2021;70.000,00;69.500,00;70.000,00;69.000,00;3,59K;0,72%
08.07.2021;69.500,00;69.990,00;69.990,00;69.500,00;2,32K;-0,71%
07.07.2021;70.000,00;69.900,00;70.000,00;69.900,00;0,82K;0,00%
06.07.2021;70.000,00;70.000,00;70.000,00;69.990,00;2,60K;0,00%
02.07.2021;70.000,00;69.600,00;70.000,00;69.600,00;0,83K;0,00%
01.07.2021;70.000,00;70.000,00;70.000,00;69.520,00;1,96K;0,00%
